Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick,YardsfromScrimmage,CareerLength
Jordan Reed,TE,74,236,4.72,,16,,,,2013,ReedJo02,14,Football Team,3,85,,
Justin Wyatt,CB,69,189,4.72,,14,,,,2006,,0,,,,,
Jared Allen-01,DE,78,265,4.72,33,13,120,7.11,4.34,2004,,0,,,,,
Mike Kudla,DE,74,265,4.72,37,45,114,7.21,4.45,2006,,0,,,,,
Ja'Mar Toombs,FB,72,281,4.72,,17,,,,2001,,0,,,,,
Andre O'Neal,ILB,73,235,4.72,34,16,114,7.3,4.24,2000,ONeaAn20,2,,,,,
Kevin Reddick,ILB,73,243,4.72,,23,113,,,2013,ReddKe00,1,,,,,
Raphael Kirby,ILB,72,236,4.72,,27,,,,2016,,0,,,,,
Azeem Victor,ILB,73,240,4.72,32.5,19,115,7.2,4.4,2018,,0,,,,,
Corey Atkins,OLB,72,237,4.72,31,21,112,7.96,4.39,2000,AtkiCo20,1,,,,,
Curtis Gatewood,OLB,74,248,4.72,28.5,22,111,6.9,4.22,2008,GateCu00,0,,,,,
Devonte Fields,OLB,74,236,4.72,34,,124,7.4,4.5,2017,FielDe00,0,,,,,
Ben Dougherty,QB,74,222,4.72,33,,108,7.41,4.34,2005,,0,,,,,
Daryll Clark,QB,74,235,4.72,,21,,,,2010,,0,,,,,
Case Keenum,QB,73,208,4.72,32.5,,103,,,2012,KeenCa00,5,,,,,
Brandon Bridge,QB,76,229,4.72,33,,110,7.18,4.37,2015,BridBr00,0,,,,,
Demario Brown,RB,72,217,4.72,31,,107,7.17,4.39,2000,,0,,,,,
Little John Flowers,RB,71,214,4.72,34,19,110,7.09,4.08,2002,,0,,,,,
David Fluellen,RB,71,224,4.72,36.5,,120,6.9,,2014,FlueDa00,0,,,,,
Darrel Williams,RB,72,225,4.72,32,22,109,,4.21,2018,WillDa10,0,,,,,
Jack Williams-01,SS,70,206,4.72,31.5,15,108,7.15,4.65,2000,,0,,,,,
Anthony Jefferson,SS,73,198,4.72,33.5,15,116,7.18,4.15,2015,JeffAn00,0,,,,,
Zeron Flemister,TE,76,249,4.72,37,14,116,6.92,4.16,2000,FlemZe00,3,,,,,
Boo Williams-02,TE,76,237,4.72,35.5,,119,7.1,4.33,2001,WillBo00,8,,,,,
AJ Derby,TE,76,255,4.72,,15,,,,2015,,0,,,,,
Marcus Knight,WR,73,180,4.72,28.5,,106,7.11,4.38,2000,KnigMa00,0,,,,,
Duke Williams-02,WR,74,229,4.72,30,14,121,7.43,4.47,2016,WillDh00,0,,,,,
Bradie Ewing,FB,72,239,4.73,36.5,14,120,7.14,4.16,2012,EwinBr00,0,Falcons,5,157,,
Akeem Dent,ILB,73,242,4.73,37.5,24,123,,,2011,DentAk00,10,Falcons,3,91,,
Ovie Mughelli,FB,73,255,4.73,31.5,,114,7.78,4.32,2003,MughOv00,0,Ravens,4,134,,
Angelo Crowell,ILB,72,236,4.73,32.5,25,,7.08,4.29,2003,CrowAn20,7,Bills,3,94,,
J.P. Losman,QB,74,224,4.73,33,,116,,,2004,LosmJ.00,14,Bills,1,22,,
Nick Kwiatkoski,ILB,74,243,4.73,32,19,120,7.16,4.22,2016,KwiaNi00,8,Bears,4,113,,
Rex Burkhead,RB,70,214,4.73,39,21,125,6.85,4.09,2013,BurkRe00,2,Bengals,6,190,,
Sean Brewer,TE,76,255,4.73,36,14,117,7.37,4.18,2001,BrewSe20,0,Bengals,3,66,,
Orson Charles,TE,74,251,4.73,,35,,,,2012,CharOr00,1,Bengals,4,116,,
D'Qwell Jackson,ILB,72,230,4.73,37,19,116,7.05,4.36,2006,JackDQ20,21,Browns,2,34,,
Brady Quinn,QB,76,232,4.73,,24,,,,2007,QuinBr00,3,Browns,1,22,,
Deon Anderson,FB,71,243,4.73,33,23,114,7.27,4.43,2007,AndeDe01,1,Cowboys,6,195,,
Kyle Wilber,OLB,76,249,4.73,33.5,25,117,7.11,4.31,2012,WilbKy00,7,Cowboys,4,113,,
Jason Doering,FS,71,202,4.73,,,,7.07,4.12,2001,DoerJa20,5,Colts,6,193,,
Jonathan Newsome,OLB,75,247,4.73,34,21,117,7.31,4.63,2014,NewsJo00,4,Colts,5,166,,
Kendrick Lewis,FS,72,198,4.73,31.5,16,116,6.88,4.33,2010,LewiKe00,14,Chiefs,5,136,,
Nico Johnson,ILB,74,248,4.73,,,,,,2013,JohnNi00,3,Chiefs,4,99,,
Tim McGarigle,ILB,73,242,4.73,38,,118,7.09,4.07,2006,McGaTi99,1,Rams,7,221,,
Phillip Merling,DE,76,276,4.73,,17,,,,2008,MerlPh99,5,Dolphins,2,32,,
Olivier Vernon,DE,74,261,4.73,34.5,31,122,7.39,4.5,2012,VernOl00,17,Dolphins,3,72,,
Nick Rogers,OLB,74,251,4.73,36,22,117,7.02,4.19,2002,RogeNi20,8,Vikings,6,177,,
Tyler Brayton,DE,78,277,4.73,34,25,116,7.14,4.31,2003,BrayTy20,15,Raiders,1,32,,
Daniel Te'o-Nesheim,DE,75,263,4.73,37,29,121,6.91,4.18,2010,Teo-Da99,8,Eagles,3,86,,
David Johnson-01,FB,73,260,4.73,32.5,21,113,7.28,4.43,2009,JohnDa05,1,Steelers,7,241,,
Rian Wallace,OLB,74,241,4.73,35.5,10,112,7.45,3.94,2005,WallRi20,2,Steelers,5,166,,
John Engelberger,DE,76,260,4.73,34,24,115,6.95,4.28,2000,EngeJo20,12,49ers,2,35,,
Owen Schmitt,FB,74,247,4.73,,26,,,,2008,SchmOw00,1,Seahawks,5,163,,
Byron Frisch,DE,76,281,4.73,34.5,31,114,7.2,4.41,2000,FrisBy20,2,Titans,3,93,,
James Whitley,CB,70,193,4.73,39,9,118,7.04,4.4,2001,WhitJa21,2,,,,,
Jimmy Pruitt,CB,72,198,4.73,32,19,117,,,2016,,0,,,,,
David Warren,DE,74,253,4.73,,21,,7.53,4.46,2001,,0,,,,,
Antwan Applewhite,DE,75,250,4.73,35,25,115,7.5,4.36,2007,ApplAn99,7,,,,,
Noland Burchette,DE,74,259,4.73,,15,,,,2007,,0,,,,,
Matt Judon,DE,75,275,4.73,35,30,109,7.67,4.52,2016,,0,,,,,
Rasheem Green,DE,77,275,4.73,32.5,,118,7.24,4.39,2018,GreeRa01,0,,,,,
Gilbert Harris,FB,74,235,4.73,36,20,117,7,4.38,2006,HarrGi00,0,,,,,
Dennis Rogan,FS,69,185,4.73,38,,118,,4.1,2010,,0,,,,,
Chris Galippo,ILB,73,241,4.73,29.5,19,107,6.9,4.1,2012,,0,,,,,
Connor Harris,ILB,71,242,4.73,33,18,114,7.13,4.31,2017,,0,,,,,
Josh Buhl,OLB,71,204,4.73,29,,114,7.26,4.32,2004,,0,,,,,
Jonathan Harrell,OLB,73,242,4.73,,27,,,,2004,,0,,,,,
Greg Richmond,OLB,73,233,4.73,,17,,,,2004,,0,,,,,
Earl Everett,OLB,74,238,4.73,32,19,113,,,2007,,0,,,,,
Erin Henderson,OLB,75,244,4.73,31,23,113,7.16,4.5,2008,HendEr99,1,,,,,
Kevin Akins,OLB,74,218,4.73,31.5,15,117,6.78,4.15,2009,,0,,,,,
Alani Fua,OLB,77,238,4.73,34.5,18,118,6.83,4.15,2015,FuaxAl00,2,,,,,
Cory Littleton,OLB,75,238,4.73,29.5,,114,7.11,4.32,2016,LittCo00,0,,,,,
Curt Maggitt,OLB,75,247,4.73,,,,,,2016,MaggCu00,0,,,,,
Skai Moore,OLB,74,226,4.73,36,,117,,,2018,MoorSk00,0,,,,,
John Torp,P,74,212,4.73,,,,,,2006,,0,,,,,
David Rivers,QB,75,223,4.73,31.5,,115,7.37,4.2,2001,,0,,,,,
D. Bryant,QB,74,218,4.73,35.5,,114,7.36,4.4,2003,,0,,,,,
Shaud Williams,RB,67,193,4.73,34,15,114,7.01,4.15,2004,WillSh01,3,,,,,
Shaun Draughn,RB,71,213,4.73,34,21,118,7.15,4.2,2011,DrauSh00,2,,,,,
Matt Henshaw,TE,76,248,4.73,29,16,111,7.44,4.44,2006,,0,,,,,
Rory Anderson,TE,77,244,4.73,,,,,,2015,AndeRo01,0,,,,,
Ben Braunecker,TE,75,250,4.73,35.5,20,121,6.9,4.2,2016,,0,,,,,
Javon Green,WR,73,211,4.73,35.5,,113,7.41,4.34,2001,,0,,,,,
Derek McCoy,WR,75,210,4.73,38,,128,7.1,4.09,2004,,0,,,,,
Chris Boyd,WR,76,206,4.73,,12,,,,2014,BoydCh00,0,,,,,
Anthony Sherman,FB,70,242,4.74,32.5,32,111,7.23,4.41,2011,SherAn00,3,Cardinals,5,136,,
Ben Patrick,TE,75,252,4.74,34.5,,111,7.21,4.31,2007,PatrBe00,3,Cardinals,7,215,,
Courtney Upshaw,DE,74,272,4.74,,22,,,,2012,UpshCo00,18,Ravens,2,35,,
Derek Schouman,FB,74,247,4.74,37.5,27,122,7,4.27,2007,SchoDe00,2,Bills,7,222,,
Kiko Alonso,ILB,75,238,4.74,,,,,,2013,AlonKi00,11,Bills,2,46,,
Dustin Hopkins,K,74,193,4.74,33.5,,116,,,2013,HopkDu00,6,Bills,6,177,,
Julius Peppers,DE,78,283,4.74,,,,,,2002,PeppJu99,30,Panthers,1,2,,
Jovan Haye,DE,74,284,4.74,34,33,110,7.38,4.35,2005,HayeJo20,12,Panthers,6,189,,
Kyle Johnson,FB,73,242,4.74,34,22,119,7.4,4.35,2002,JohnKy00,4,Panthers,5,145,,
Alex Brown,DE,75,260,4.74,,,,,,2002,BrowAl20,23,Bears,4,104,,
Anthony Hitchens,OLB,72,240,4.74,31.5,23,116,7.15,4.45,2014,HitcAn00,18,Cowboys,4,119,,
Quanterus Smith,DE,77,250,4.74,,,,,,2013,SmitQu00,1,Broncos,5,146,,
Nate Irving,ILB,73,240,4.74,,,,,,2011,IrviNa00,5,Broncos,3,67,,
Shiloh Keo,SS,71,219,4.74,32.5,24,110,6.55,3.9,2011,KeoxSh00,7,Texans,5,144,,
Khari Long,DE,76,257,4.74,38.5,27,121,7.22,4.07,2005,LongKh20,0,Chiefs,6,199,,
Dadi Nicolas,DE,75,235,4.74,41,14,116,7.04,4.38,2016,NicoDa00,1,Chiefs,6,203,,
Larry English,OLB,74,255,4.74,36,24,107,7.26,4.38,2009,EnglLa99,4,Chargers,1,16,,
Xzavier Dickson,OLB,75,260,4.74,29.5,19,100,7.56,4.53,2015,DickXz00,0,Patriots,7,253,,
Rohan Davey,QB,74,245,4.74,,,,,,2002,DaveRo01,0,Patriots,4,117,,
Cameron Jordan,DE,76,287,4.74,31,25,117,7.07,4.37,2011,JordCa00,27,Saints,1,24,,
Jace Amaro,TE,77,265,4.74,33,28,118,7.42,4.3,2014,AmarJa00,4,Jets,2,49,,
Jack Crawford,DE,77,274,4.74,33,,116,7.15,4.25,2012,CrawJa00,2,Raiders,5,158,,
Bryan Smith,OLB,74,231,4.74,32.5,17,120,7.22,4.4,2008,SmitBr96,1,Eagles,3,80,,
LaMarr Woodley,DE,73,266,4.74,,,,,,2007,WoodLa99,27,Steelers,2,46,,
Jarvis Jones,OLB,74,245,4.74,,,,,,2013,JoneJa05,14,Steelers,1,17,,
Aldon Smith,DE,76,263,4.74,34,20,118,7.19,4.5,2011,SmitAl04,23,49ers,1,7,,
Billy Bajema,TE,77,261,4.74,31.5,16,113,7.05,4.25,2005,BajeBi00,0,49ers,7,249,,
Josh Carraway,DE,75,242,4.74,29.5,25,120,7.2,4.44,2017,CarrJo00,0,Titans,7,227,,
Preston Smith,DE,77,271,4.74,34,24,121,7.07,4.28,2015,SmitPr00,18,Football Team,2,38,,
Sage Rosenfels,QB,76,228,4.74,34,,107,7.07,4.29,2001,RoseSa00,1,Football Team,4,109,,
Gabe Nyenhuis,DE,75,269,4.74,39,25,124,6.92,4.03,2004,,0,,,,,
Matt Keller,FB,71,235,4.74,,,,,,2000,,0,,,,,
Aaron Francisco,FS,74,211,4.74,35,17,113,6.96,4.07,2005,FranAa20,4,,,,,
Jermaine Petty,ILB,75,261,4.74,33.5,20,116,,4.34,2002,,0,,,,,
Will Derting,ILB,72,247,4.74,,,,,,2006,,0,,,,,
Jameel McClain,ILB,73,249,4.74,26,24,110,7.12,4.31,2008,McClJa01,11,,,,,
Shawn Loiseau,ILB,72,244,4.74,32.5,19,109,,,2012,LoisSh00,0,,,,,
Brandon Pace,K,70,193,4.74,,,,,,2007,,0,,,,,
John Lunsford,K,73,214,4.74,,,,,,2016,,0,,,,,
Brandon Magee,OLB,71,223,4.74,,,114,,,2013,MageBr00,2,,,,,
Lerentee McCray,OLB,74,250,4.74,,,,,,2013,McCrLe01,3,,,,,
Nick Murphy,P,72,188,4.74,,,,,,2002,MurpNi20,1,,,,,
David Lonie,P,77,209,4.74,,,,,,2006,,0,,,,,
Dylan Breeding,P,73,213,4.74,29,11,110,,,2013,,0,,,,,
Giovanni Carmazzi,QB,75,224,4.74,36.5,,119,6.94,4.23,2000,,0,,,,,
Chris Leak,QB,72,209,4.74,32.5,,113,7.03,4.41,2007,,0,,,,,
Mike Reilly,QB,75,214,4.74,30.5,,109,6.76,4.11,2009,,0,,,,,
Kahlil Bell,RB,71,212,4.74,34.5,15,114,6.87,4.2,2009,BellKa00,5,,,,,
Rushel Shell III,RB,70,227,4.74,32.5,21,,,,2017,,0,,,,,
Kamryn Pettway,RB,72,233,4.74,33.5,22,116,,,2018,,0,,,,,
Randy Black,SS,72,205,4.74,35.5,,115,7.14,4.2,2001,,0,,,,,
Sean Cattouse,SS,74,211,4.74,34,,114,6.99,4.15,2012,CattSe00,0,,,,,
Tim Day,TE,75,256,4.74,35,24,109,7.03,4.2,2006,,0,,,,,
Evan Moore,TE,78,233,4.74,27,16,110,7.08,4.43,2008,MoorEv00,5,,,,,
Beau Sandland,TE,76,253,4.74,35,23,124,7.1,4.33,2016,,0,,,,,
Ian Thomas,TE,76,259,4.74,36,,123,7.15,4.2,2018,ThomIa00,0,,,,,
Jordan Thomas-02,TE,77,265,4.74,27,16,111,7.5,4.75,2018,,0,,,,,
Chris Daniels,WR,75,217,4.74,33,,115,7.2,4.24,2000,,0,,,,,
Adarius Bowman,WR,75,223,4.74,,14,,,,2008,,0,,,,,
T.J. Moe,WR,71,204,4.74,36,26,120,6.53,3.96,2013,MoexT.00,0,,,,,
Drew Morgan,WR,72,190,4.74,30,10,112,6.85,4.12,2017,MorgDr00,0,,,,,
Kyle Vanden Bosch,DE,76,270,4.75,36.5,26,119,6.82,4.08,2001,VandKy99,11,Cardinals,2,34,,
Gerald Hayes,ILB,73,238,4.75,30.5,,107,7.57,4.35,2003,HayeGe20,10,Cardinals,3,70,,
Quan Sturdivant,ILB,73,241,4.75,34,21,115,,4.5,2011,SturQu00,0,Cardinals,6,171,,
Sekou Sanyika,OLB,75,241,4.75,32.5,,111,7.33,4.38,2000,SanySe20,3,Cardinals,7,215,,
Jay Tant,TE,75,255,4.75,,31,,,,2000,TantJa00,0,Cardinals,5,164,,
Jamaal Anderson,DE,77,288,4.75,,,,,,2007,AndeJa98,17,Falcons,1,8,,
Zeke Motta,SS,74,213,4.75,35.5,11,126,6.75,4.16,2013,MottZe00,1,Falcons,7,244,,
Dan Cody,DE,77,254,4.75,,,,,,2005,CodyDa20,0,Ravens,2,53,,
LeRon McClain,FB,72,256,4.75,29.5,14,113,7.14,4.47,2007,McClLe00,10,Ravens,4,137,,
Erik Flowers,DE,76,271,4.75,33,24,114,7.21,4.15,2000,FlowEr20,5,Bills,1,26,,
Aaron Schobel,DE,76,263,4.75,38,,119,7.16,4.03,2001,SchoAa99,21,Bills,2,46,,
Chris Kelsay,DE,76,273,4.75,36.5,23,121,,,2003,KelsCh21,14,Bills,2,48,,
Brandon Spoon,ILB,74,245,4.75,35.5,33,110,7.3,4.15,2001,SpooBr20,5,Bills,4,110,,
DaShon Polk,OLB,74,233,4.75,32,18,111,7.43,4.45,2000,PolkDa20,2,Bills,7,251,,
Mike Roberg,TE,76,256,4.75,34.5,16,117,7.28,4.4,2001,RobeMi00,0,Panthers,7,227,,
Karon Riley,DE,74,264,4.75,,,,,,2001,RileKa20,1,Bears,4,103,,
Lance Briggs,ILB,73,242,4.75,33,25,113,,,2003,BrigLa99,35,Bears,3,68,,
David Pollack,DE,74,265,4.75,37,25,120,6.86,3.9,2005,PollDa20,3,Bengals,1,17,,
Geno Atkins,DT,73,293,4.75,33,34,117,7.33,4.43,2010,AtkiGe99,34,Bengals,4,120,,
Sean Porter,OLB,73,229,4.75,35,22,119,,,2013,PortSe00,0,Bengals,4,118,,
Tyler Kroft,TE,77,246,4.75,,17,,,,2015,KrofTy00,5,Bengals,3,85,,
David Veikune,DE,74,257,4.75,33,35,110,7.2,4.46,2009,VeikDa99,1,Browns,2,52,,
Martin Rucker,TE,77,251,4.75,,20,,,,2008,RuckMa00,0,Browns,4,111,,
Ryan Russell,DE,76,269,4.75,32.5,25,119,7.25,4.47,2015,RussRy00,4,Cowboys,5,163,,
Syd'Quan Thompson,CB,69,186,4.75,33,,117,6.73,4.26,2010,ThomSy99,1,Broncos,7,225,,
Elvis Dumervil,DE,71,257,4.75,,30,,,,2006,DumeEl20,14,Broncos,4,126,,
Kalimba Edwards,DE,77,265,4.75,,,,,,2002,EdwaKa20,7,Lions,2,35,,
Drew Stanton,QB,75,226,4.75,30.5,,108,6.77,4.41,2007,StanDr00,4,Lions,2,43,,
Jeremy Thompson,DE,76,264,4.75,32,25,117,6.97,4.23,2008,ThomJe99,1,Packers,4,102,,
Earl Mitchell,DT,74,296,4.75,28.5,25,107,7.68,4.55,2010,MitcEa99,6,Texans,3,81,,
Yannick Ngakoue,DE,74,252,4.75,34.5,26,118,7.35,4.5,2016,NgakYa00,19,Jaguars,3,69,,
Danny Clark,ILB,74,245,4.75,,20,,,,2000,ClarDa21,12,Jaguars,7,245,,
Kevin Ellison,OLB,73,227,4.75,,32,,,,2009,ElliKe98,4,Chargers,6,189,,
Charlie Whitehurst,QB,77,223,4.75,33,,112,7,4.11,2006,WhitCh02,3,Chargers,3,81,,
Justin Peelle,TE,76,255,4.75,29,21,110,7.34,4.29,2002,PeelJu00,2,Chargers,4,103,,
Chris Long,DE,75,272,4.75,34,,124,7.02,4.21,2008,LongCh99,18,Rams,1,2,,
Koa Misi,OLB,75,251,4.75,38,,127,7.07,4.27,2010,MisiKo99,18,Dolphins,2,40,,
John Beck,QB,74,215,4.75,29.5,,111,6.81,4.17,2007,BeckJo00,4,Dolphins,2,40,,
Dion Sims,TE,77,262,4.75,35,22,112,7.36,4.52,2013,SimsDi00,4,Dolphins,4,106,,
Christian Ballard,DE,76,283,4.75,31.5,,111,7.54,4.51,2011,BallCh00,3,Vikings,4,106,,
Ben Gedeon,ILB,74,244,4.75,34.5,27,119,6.98,4.13,2017,GedeBe00,8,Vikings,4,120,,
Jake Bequette,DE,77,274,4.75,34,,113,6.9,4.07,2012,BequJa00,0,Patriots,3,90,,
Cedric Cobbs,RB,72,223,4.75,40,,123,,,2004,CobbCe00,0,Patriots,4,128,,
Garrett Grayson,QB,74,213,4.75,,,,,,2015,GrayGa00,0,Saints,3,75,,
Greg Jones-02,ILB,72,242,4.75,31.5,21,117,7.27,4.27,2011,JoneGr02,3,Giants,6,185,,
Clint Sintim,OLB,75,256,4.75,34.5,,119,7.37,4.4,2009,SintCl99,2,Giants,2,45,,
Kirk Morrison,ILB,73,235,4.75,,25,,,4.31,2005,MorrKi20,23,Raiders,3,78,,
Bruce Campbell,OT,78,314,4.75,32,34,101,7.58,4.69,2010,CampBr20,1,Raiders,4,106,,
Ben Roethlisberger,QB,77,241,4.75,,,,,,2004,RoetBe00,33,Steelers,1,11,,
Cam Johnson,DE,75,268,4.75,35,,105,7.2,4.38,2012,JohnCa01,1,49ers,7,237,,
Tony Jackson,TE,74,266,4.75,33,23,113,7.5,4.48,2005,,0,Seahawks,6,196,,
Barrett Ruud,ILB,74,241,4.75,34.5,25,112,7.22,3.94,2005,RuudBa20,15,Buccaneers,2,36,,
Mason Foster,OLB,73,245,4.75,31,22,110,7.14,4.45,2011,FostMa00,19,Buccaneers,3,84,,
Kenneth Darby,RB,70,211,4.75,30,19,108,7.25,4.53,2007,DarbKe00,3,Buccaneers,7,246,,
Austin Seferian-Jenkins,TE,77,262,4.75,,20,,,,2014,SefeAu00,6,Buccaneers,2,38,,
Rennie Curran,OLB,71,235,4.75,34.5,25,,,,2010,CurrRe99,1,Titans,3,97,,
Bo Scaife,TE,75,249,4.75,32.5,24,114,7.21,4.12,2005,ScaiBo00,10,Titans,6,179,,
Roland Seymour,DE,75,250,4.75,,,,,,2001,,0,,,,,
Uyi Osunde,DE,75,252,4.75,,33,,,,2004,,0,,,,,
Jim Davis,DE,75,277,4.75,34,,111,7.11,4.23,2005,DaviJi20,0,,,,,
Eric Henderson,DE,74,270,4.75,,30,,,,2006,HendEr20,0,,,,,
Rahim Alem,DE,75,251,4.75,30.5,,106,7.54,4.8,2010,,0,,,,,
Kevin Basped,DE,76,258,4.75,29,26,104,7.54,4.88,2010,,0,,,,,
Jacquies Smith,DE,75,253,4.75,31.5,21,110,7.25,4.31,2012,SmitJa01,9,,,,,
John Franklin-Myers,DE,76,283,4.75,33,26,113,7.36,4.48,2018,,0,,,,,
Kori Dickerson,FB,76,240,4.75,34,22,116,7.34,4.51,2002,DickKo20,0,,,,,
Tom Lopienski,FB,72,246,4.75,34,24,111,7.53,4.24,2003,LopiTo20,0,,,,,
Rashawn Jackson,FB,73,239,4.75,34.5,,117,,,2010,JackRa23,0,,,,,
Freddie Stevenson,FB,72,234,4.75,28,24,111,7.65,4.45,2017,StevFr00,0,,,,,
Tony Jefferson,FS,71,213,4.75,,16,,,,2013,JeffTo00,8,,,,,
Jordan Lomax,FS,70,202,4.75,36,8,120,7.18,4.15,2016,LomaJo00,0,,,,,
Worrell Williams,ILB,71,240,4.75,35,23,111,,,2009,,0,,,,,
Albert McClellan,ILB,73,247,4.75,36.5,26,119,7.24,4.21,2010,McClAl00,9,,,,,
Christian Sam,ILB,74,244,4.75,32,28,114,7.03,4.25,2018,SamxCh00,0,,,,,
Matt Payne,K,76,229,4.75,,,,,,2005,,0,,,,,
Jesse Ainsworth,K,75,218,4.75,,,,,,2007,,0,,,,,
Roger Cooper,OLB,74,239,4.75,35.5,19,118,7.28,4.33,2005,,0,,,,,
Jamar Enzor,OLB,72,243,4.75,,21,,,,2005,EnzoJa20,0,,,,,
Justin Hickman,OLB,73,254,4.75,29.5,23,115,7.06,4.43,2007,HickJu00,1,,,,,
Etienne Sabino,OLB,74,247,4.75,,24,114,,,2013,SabiEt00,0,,,,,
Mike Taylor,OLB,73,234,4.75,,,,,,2013,TaylMi00,0,,,,,
Dylan Donahue,OLB,75,248,4.75,29.5,26,116,7.02,4.46,2017,,0,,,,,
Leon Murray,QB,74,207,4.75,,,,,,2000,,0,,,,,
John Parker Wilson,QB,73,219,4.75,29.5,,105,7.53,4.59,2009,WilsJo01,0,,,,,
Jerrod Johnson,QB,77,251,4.75,29,,119,7.28,4.31,2011,JohnJe03,0,,,,,
Josh Allen,QB,77,237,4.75,33.5,,119,6.9,4.4,2018,AlleJo02,0,,,,,
Tyrone Moss,RB,69,231,4.75,31,16,107,,4.56,2007,,0,,,,,
George Winn,RB,70,218,4.75,34.5,22,119,,,2013,WinnGe00,0,,,,,
Tim Flanders,RB,69,207,4.75,32,20,113,7.07,,2014,,0,,,,,
Shadrach Thornton,RB,72,217,4.75,31,12,116,6.85,4.21,2016,,0,,,,,
Arther Love,TE,76,236,4.75,36,24,,,,2001,,0,,,,,
Dalton Schultz,TE,77,244,4.75,32,15,120,7,4.4,2018,,0,,,,,
David Wells,TE,78,256,4.75,33,20,116,7.5,4.59,2018,,0,,,,,
Cory Peterson,WR,74,195,4.75,32.5,,114,,,2000,,0,,,,,
Cody Brown,OLB,74,244,4.76,36.5,26,120,7.1,4.4,2009,BrowCo96,0,Cardinals,2,63,,
Stepfan Taylor,RB,69,214,4.76,30,17,110,7.13,4.5,2013,TaylSt00,3,Cardinals,5,140,,
Sean Renfree,QB,75,219,4.76,,,,,,2013,RenfSe00,0,Falcons,7,249,,
Alge Crumpler,TE,74,266,4.76,34,22,112,7.38,4.43,2001,CrumAl00,14,Falcons,2,35,,
Keith Ellison,OLB,73,235,4.76,32.5,24,115,7.22,4.16,2006,ElliKe20,15,Bills,6,178,,
Trent Edwards,QB,76,231,4.76,,19,,7.14,4.46,2007,EdwaTr01,16,Bills,3,92,,
Daeshon Hall,DE,77,266,4.76,36,18,123,7.03,4.38,2017,HallDa01,0,Panthers,3,77,,
Jimmy Clausen,QB,75,222,4.76,,,,,,2010,ClauJi00,1,Panthers,2,48,,
Joe Schobert,OLB,73,244,4.76,33.5,22,111,7.11,4.3,2016,SchoJo00,11,Browns,4,99,,
DeVonte Holloman,OLB,73,243,4.76,33,15,113,7.3,4.26,2013,HollDe01,1,Cowboys,6,185,,
Abdul Hodge,ILB,72,236,4.76,31,,108,7.09,4.3,2006,HodgAb20,2,Packers,3,67,,
Carl Bradford,OLB,73,250,4.76,37.5,23,122,7.25,4.3,2014,BradCa01,0,Packers,4,121,,
David Martin,WR,76,242,4.76,,,,,,2001,MartDa00,3,Packers,6,198,,
C.J. Fiedorowicz,TE,77,265,4.76,31.5,25,116,7.1,4.26,2014,FiedC.00,5,Texans,3,65,,
Philip Wheeler,ILB,74,248,4.76,31,24,118,7.11,4.29,2008,WheePh99,8,Colts,3,93,,
Antonio Morrison,ILB,73,232,4.76,,,,,,2016,MorrAn01,9,Colts,4,125,,
Anthony Denman,ILB,73,239,4.76,,,,,,2001,DenmAn20,2,Jaguars,7,213,,
Chris Luzar,TE,79,270,4.76,32.5,22,115,6.84,4.17,2002,LuzaCh00,0,Jaguars,4,118,,
Billy Baber,TE,76,255,4.76,33,22,106,7.12,4.19,2001,BabeBi00,0,Chiefs,5,141,,
Zeke Moreno,ILB,74,248,4.76,,24,,7.1,4.31,2001,MoreZe20,9,Chargers,5,139,,
Carlos Polk,ILB,74,251,4.76,,,,,,2001,PolkCa20,2,Chargers,4,112,,
Rod Davis,ILB,74,239,4.76,,,114,7.2,4.02,2004,DaviRo21,3,Vikings,5,155,,
Audie Cole,ILB,76,246,4.76,35,15,114,6.96,4.29,2012,ColeAu00,4,Vikings,7,210,,
Chad Greenway,OLB,74,242,4.76,33.5,16,117,7,4.22,2006,GreeCh99,26,Vikings,1,17,,
Jeremy Mincey,DE,75,259,4.76,33.5,27,116,6.99,4.25,2006,MincJe99,5,Patriots,6,191,,
Tyrone McKenzie,OLB,74,243,4.76,,27,112,,,2009,McKeTy99,1,Patriots,3,97,,
Adrian Tracy,OLB,75,248,4.76,35.5,20,110,7.08,4.34,2010,TracAd99,1,Giants,6,184,,
"Mario Edwards, Jr.",DE,75,279,4.76,32.5,32,120,7.44,4.55,2015,EdwaMa01,11,Raiders,2,35,,
Zach Ertz,TE,77,249,4.76,30.5,24,111,7.08,4.47,2013,ErtzZa00,15,Eagles,2,35,,
Jordan Zumwalt,OLB,76,235,4.76,33,,116,6.99,4.25,2014,ZumwJo00,0,Steelers,6,192,,
Aaron Lynch,DE,77,249,4.76,,18,,,,2014,LyncAa00,9,49ers,5,150,,
Larry Grant,OLB,73,235,4.76,31.5,20,113,6.77,4.22,2008,GranLa99,6,49ers,7,214,,
David Kirtman,FB,71,233,4.76,29.5,,106,7.18,4.31,2006,KirtDa00,0,Seahawks,5,163,,
Nick Vannett,TE,78,257,4.76,30.5,17,111,7.05,4.2,2016,VannNi00,1,Seahawks,3,94,,
DeWayne White,DE,74,273,4.76,33,22,112,7.22,4.32,2003,WhitDe20,9,Buccaneers,2,64,,
